category,name,value
discount,discount,0.95
ev_shocks,scale,1.02451911609058
nonpec_academic,constant,1.01213928276685
nonpec_academic,grade_1,0.0144300569712105
nonpec_academic,grade_2,0.000557923738394232
nonpec_academic,grade_3,-0.00324875097900204
nonpec_academic,parental_income_1,0.0237032163327057
nonpec_academic,parental_income_2,0.0321495476326235
nonpec_academic,parental_income_3,0.0132669201707753
nonpec_havo,constant,0.0400514224154291
nonpec_havo,parental_income_1,-0.0414539612278713
nonpec_havo,parental_income_2,-0.00189818798803656
nonpec_havo,parental_income_3,-0.0135446300434596
nonpec_hbo,age,0.000155425206704157
nonpec_hbo,constant,0.012754412110349
nonpec_hbo,parental_income_1,0.0138538576406517
nonpec_hbo,parental_income_2,-0.00101582594083923
nonpec_hbo,parental_income_3,0.0315481954952403
nonpec_mbo3,constant,0.0362413427032653
nonpec_mbo3,parental_income_1,0.0159833368273763
nonpec_mbo3,parental_income_2,-0.067050774381569
nonpec_mbo3,parental_income_3,0.0233249939556125
nonpec_mbo4,constant,-0.0100371224298955
nonpec_mbo4,parental_income_1,0.0875866482309305
nonpec_mbo4,parental_income_2,-0.0191538814308251
nonpec_mbo4,parental_income_3,-0.00164596397297038
nonpec_vocational,constant,0.557143882028115
nonpec_vocational,grade_1,0.0354110430691999
nonpec_vocational,grade_2,-0.00813995727783943
nonpec_vocational,grade_3,-0.041298377046349
nonpec_vocational,parental_income_1,-0.051332221630134
nonpec_vocational,parental_income_2,-0.034320641296453
nonpec_vocational,parental_income_3,0.0208391521706168
transition_length_dropout_hbo,1,0.33
transition_length_dropout_hbo,2,0.33
transition_length_dropout_hbo,3,0.33
transition_length_dropout_mbo3,1,0.5
transition_length_dropout_mbo3,2,0.5
transition_length_dropout_mbo4,1,0.33
transition_length_dropout_mbo4,2,0.33
transition_length_dropout_mbo4,3,0.33
transition_length_hbo,constant,1
transition_length_hbo,grade_1,0
transition_length_hbo,grade_2,0
transition_length_hbo,grade_3,0
transition_length_hbo,parental_income_1,0
transition_length_hbo,parental_income_1,0
transition_length_hbo,parental_income_1,0
transition_length_mbo3,constant,1
transition_length_mbo3,grade_1,0
transition_length_mbo3,grade_2,0
transition_length_mbo3,grade_3,0
transition_length_mbo4,constant,1
transition_length_mbo4,grade_1,0
transition_length_mbo4,grade_2,0
transition_length_mbo4,grade_3,0
transition_length_mbo4,parental_income_1,0
transition_length_mbo4,parental_income_1,0
transition_length_mbo4,parental_income_1,0
transition_max,havo,4
transition_max,hbo,6
transition_max,mbo3,4
transition_max,mbo4,5
transition_min,havo,2
transition_min,hbo,3
transition_min,mbo3,2
transition_min,mbo4,3
transition_risk_havo,ability,-0.0420776098556467
transition_risk_havo,constant,2.95894370151608
transition_risk_havo,grade_1,0.00561447764809001
transition_risk_havo,grade_2,0.0118092123920818
transition_risk_havo,grade_3,-0.0207027715519667
transition_risk_havo,parental_income,0.0755296668357466
transition_risk_havo,parental_income_1,0.00574117476441488
transition_risk_havo,parental_income_1,0.0102685529584707
transition_risk_havo,parental_income_1,-0.00185089157244364
transition_risk_hbo,constant,4.01492609034904
transition_risk_hbo,grade_1,-0.0229230773894527
transition_risk_hbo,grade_2,0.0122397388833475
transition_risk_hbo,grade_3,2.01281030743499
transition_risk_hbo,parental_income_1,0.0198652466483747
transition_risk_hbo,parental_income_1,0.00204485447861196
transition_risk_hbo,parental_income_1,0.0111276155857511
transition_risk_mbo3,constant,0.064717588431188
transition_risk_mbo3,parental_income_1,0.0138668973561468
transition_risk_mbo3,parental_income_1,0.0190293745441324
transition_risk_mbo3,parental_income_1,0.0224211032638157
transition_risk_mbo4,constant,2.04631957885539
transition_risk_mbo4,parental_income_1,1.00330008346602
transition_risk_mbo4,parental_income_1,1.0005324142497
transition_risk_mbo4,parental_income_1,0.96270741305048
transition_risk_mbo4_mbo3,constant,1.02128806825367
transition_risk_mbo4_mbo3,parental_income_1,-0.00275614158447806
transition_risk_mbo4_mbo3,parental_income_1,0.00905650687396139
transition_risk_mbo4_mbo3,parental_income_1,0.0254361470366385
wage_academic,age,0.0676955476493622
wage_academic,constant,3
wage_academic,exp,0.24409545777918
wage_academic,grade_1,0.00886046951636217
wage_academic,grade_2,0.99466286483476
wage_academic,grade_3,2.03181603599205
wage_academic,parental_income_1,0.00467378207757528
wage_academic,parental_income_2,0.0964486643342493
wage_academic,parental_income_3,2.00436426411008
wage_shock_academic,std,0.136903122864304
wage_shock_vocational,std,0.106380660648008
wage_vocational,age,-1.16494773796561
wage_vocational,constant,1.05832289260479
wage_vocational,exp,-0.0867848982146094
wage_vocational,grade_1,1.01466844390612
wage_vocational,grade_2,0.953844294568907
wage_vocational,grade_3,0.908474074417042
wage_vocational,parental_income_1,-0.00413038510024438
wage_vocational,parental_income_2,0.0191238455719432
wage_vocational,parental_income_3,0.00804019631002219
wage_vocational,uni_dropout,0.0198971105393125
